generation,best_gen,best_ever,mean_fitness,greedy_fitness,mean_certainty,t_eval_max,elapsed
133,-8.92e-05,-6.173e-05,-0.01634292,-0.15871246,0.56284,10,4.13
134,-8.92e-05,-6.173e-05,-0.00490805,-0.15871246,0.56529,10,4.16
135,-8.92e-05,-6.173e-05,-0.00241977,-0.14760135,0.56738,10,4.19
136,-8.92e-05,-6.173e-05,-0.01539127,-0.17293389,0.5689,10,4.24
137,-8.92e-05,-6.173e-05,-0.01024756,-0.1762825,0.57139,10,4.28
138,-8.92e-05,-6.173e-05,-0.01398332,-0.17825069,0.56977,10,4.31
139,-8.92e-05,-6.173e-05,-0.00797897,-0.18040528,0.56998,10,4.34
140,-8.92e-05,-6.173e-05,-0.00833688,-0.65965771,0.57066,10,4.37
141,-8.92e-05,-6.173e-05,-0.00995266,-0.2485466,0.57041,10,4.4
142,-8.92e-05,-6.173e-05,-0.00422472,-0.65764918,0.56842,10,4.43
143,-8.92e-05,-6.173e-05,-0.00818492,-0.25939493,0.56941,10,4.46
144,-8.92e-05,-6.173e-05,-0.00863835,-0.65043841,0.5715,10,4.49
145,-8.92e-05,-6.173e-05,-0.01055037,-0.66334182,0.57379,10,4.52
146,-8.92e-05,-6.173e-05,-0.00614454,-0.66118723,0.57482,10,4.55
147,-8.92e-05,-6.173e-05,-0.0050916,-0.65874565,0.5762,10,4.58
148,-8.92e-05,-6.173e-05,-0.0075482,-0.6302789,0.57749,10,4.61
149,-8.92e-05,-6.173e-05,-0.00035616,-0.64188261,0.57805,10,4.64
150,-8.92e-05,-6.173e-05,-0.01062602,-0.62909349,0.57986,10,4.67
151,-8.92e-05,-6.173e-05,-0.01061031,-0.65026572,0.57974,10,4.7
152,-8.92e-05,-6.173e-05,-0.00930434,-0.63442369,0.57836,10,4.73
153,-8.92e-05,-6.173e-05,-0.00154852,-0.64722206,0.58192,10,4.76
154,-8.92e-05,-6.173e-05,-0.00786979,-0.64858611,0.58392,10,4.79
155,-8.92e-05,-6.173e-05,-0.005854,-0.65570199,0.5832,10,4.82
156,-8.92e-05,-6.173e-05,-0.01232096,-0.64459088,0.58304,10,4.85
157,-8.92e-05,-6.173e-05,-0.00201082,-0.64506747,0.58394,10,4.88
158,-8.92e-05,-6.173e-05,-0.00687767,-0.65570199,0.58581,10,4.91
159,-8.92e-05,-6.173e-05,-0.01045504,-0.67251336,0.5889,10,4.94
160,-8.92e-05,-6.173e-05,-0.00782495,-0.67050506,0.59009,10,4.97
161,-8.92e-05,-6.173e-05,-0.01025519,-0.65298958,0.59098,10,5.0
162,-8.92e-05,-6.173e-05,-0.00967311,-0.6563035,0.58892,10,5.04
163,-8.92e-05,-6.173e-05,-0.00033333,-0.65343265,0.58766,10,5.07
164,-8.92e-05,-6.173e-05,-0.00749891,-0.60888245,0.587,10,5.1
165,-8.92e-05,-6.173e-05,-0.00479104,-0.11821802,0.58912,10,5.13
166,-8.92e-05,-6.173e-05,-0.00535528,-0.12763612,0.59116,10,5.16
167,-8.92e-05,-6.173e-05,-0.00711146,-0.2433997,0.59179,10,5.19
168,-8.92e-05,-6.173e-05,-0.00381752,-0.14410891,0.59392,10,5.22
169,-8.92e-05,-6.173e-05,-0.00718524,-0.1743999,0.59344,10,5.25
170,-8.92e-05,-6.173e-05,-0.00817709,-0.19841619,0.59284,10,5.28
171,-8.92e-05,-6.173e-05,-0.01362927,-0.17994819,0.59624,10,5.31
172,-8.92e-05,-6.173e-05,-0.00105787,-0.67468503,0.59697,10,5.34
173,-8.92e-05,-6.173e-05,-0.00936448,-0.68712625,0.59591,10,5.37
174,-8.92e-05,-6.173e-05,-0.00465871,-0.68377594,0.59705,10,5.4
175,-8.92e-05,-6.173e-05,-0.00792071,-0.68444538,0.59864,10,5.43
176,-8.92e-05,-6.173e-05,-0.00513099,-0.68527059,0.59985,10,5.46
177,-8.92e-05,-6.173e-05,-0.00415713,-0.7022674,0.59967,10,5.49
178,-8.92e-05,-6.173e-05,-0.01508623,-0.72161822,0.59874,10,5.52
179,-8.92e-05,-6.173e-05,-0.01367492,-0.68315668,0.59739,10,5.57
180,-8.92e-05,-6.173e-05,-0.00689608,-0.68315668,0.59826,10,5.61
181,-8.92e-05,-6.173e-05,-0.00413847,-0.71782314,0.60015,10,5.64
182,-8.92e-05,-6.173e-05,-0.01037677,-0.69277928,0.59982,10,5.67
183,-8.92e-05,-6.173e-05,-0.00135911,-0.68251511,0.60024,10,5.7
184,-8.92e-05,-6.173e-05,-0.00854729,-0.72415226,0.60052,10,5.73
185,-8.92e-05,-6.173e-05,-0.00556264,-0.72415226,0.60016,10,5.76
186,-8.92e-05,-6.173e-05,-0.01031067,-0.77797621,0.60015,10,5.79
187,-8.92e-05,-6.173e-05,-0.00917207,-0.78820438,0.59956,10,5.82
188,-8.92e-05,-6.173e-05,-0.00476061,-0.78820438,0.59961,10,5.85
189,-8.92e-05,-6.173e-05,-0.01436369,-0.72326931,0.60002,10,5.88
190,-8.92e-05,-6.173e-05,-0.00359453,-0.72326931,0.60176,10,5.91
191,-8.92e-05,-6.173e-05,-0.00674557,-0.81323005,0.60238,10,5.94
192,-8.92e-05,-6.173e-05,-0.01173228,-0.81005444,0.60203,10,5.97
193,-8.92e-05,-6.173e-05,-0.01367573,-0.78125267,0.60292,10,6.0
194,-8.92e-05,-6.173e-05,-0.0063467,-0.6289108,0.60267,10,6.03
195,-8.92e-05,-6.173e-05,-0.00646343,-0.6617118,0.60149,10,6.06
196,-8.92e-05,-6.173e-05,-0.00491184,-0.63469873,0.60092,10,6.09
197,-8.92e-05,-6.173e-05,-0.00080466,-0.67700854,0.60142,10,6.12
198,-8.92e-05,-6.173e-05,-0.0075295,-0.67700854,0.59883,10,6.15
199,-8.92e-05,-6.173e-05,-0.00675143,-0.70947607,0.59944,10,6.18
200,-8.92e-05,-6.173e-05,-0.00484938,-0.70825528,0.59994,10,6.21
201,-8.92e-05,-6.173e-05,-0.00404762,-0.80689076,0.6009,10,6.24
202,-8.92e-05,-6.173e-05,-0.00571812,-0.80822034,0.60165,10,6.27
203,-8.92e-05,-6.173e-05,-0.00167557,-0.71219925,0.60125,10,6.31
204,-8.92e-05,-6.173e-05,-0.0006478,-0.69869714,0.60227,10,6.34
205,-8.92e-05,-6.173e-05,-0.00494749,-0.69996597,0.60205,10,6.37
206,-8.92e-05,-6.173e-05,-0.0095934,-0.71185667,0.60357,10,6.4
207,-8.92e-05,-6.173e-05,-0.00364047,-0.70946567,0.60415,10,6.43
208,-8.92e-05,-6.173e-05,-0.00505428,-0.8298438,0.60466,10,6.46
209,-8.92e-05,-6.173e-05,-0.00935332,-0.81229994,0.60644,10,6.49
210,-8.92e-05,-6.173e-05,-0.0022134,-0.86241926,0.60579,10,6.52
211,-8.92e-05,-6.173e-05,-0.00285624,-0.86241926,0.60436,10,6.55
212,-8.92e-05,-6.173e-05,-0.00173687,-0.85926576,0.60723,10,6.58
