level,seed,gen,best_fitness,mean_fitness,best_expr,node_count,total_info,monotonicity,mean_rate,parsimony
1,0,1670,-0.0048606,-1000000.01213023,0,1,0.3485,0.0,0.0,0.005
1,0,1680,-0.0048606,-2000000.01188109,0,1,0.3485,0.0,0.0,0.005
1,0,1690,-0.0048606,-0.01277828,0,1,0.3485,0.0,0.0,0.005
1,0,1700,-0.0048606,-2000000.01167614,0,1,0.3485,0.0,0.0,0.005
1,0,1710,-0.0048606,-2000000.01211851,0,1,0.3485,0.0,0.0,0.005
1,0,1720,-0.0048606,-3000000.01222116,0,1,0.3485,0.0,0.0,0.005
1,0,1730,-0.0048606,-1000000.01175283,0,1,0.3485,0.0,0.0,0.005
1,0,1740,-0.0048606,-0.01253302,0,1,0.3485,0.0,0.0,0.005
1,0,1750,-0.0048606,-2000000.01126293,0,1,0.3485,0.0,0.0,0.005
1,0,1760,-0.0048606,-0.01203332,0,1,0.3485,0.0,0.0,0.005
1,0,1770,-0.0048606,-2000000.01214942,0,1,0.3485,0.0,0.0,0.005
1,0,1780,-0.0048606,-1000000.01178975,0,1,0.3485,0.0,0.0,0.005
1,0,1790,-0.0048606,-1000000.01138529,0,1,0.3485,0.0,0.0,0.005
1,0,1800,-0.0048606,-4000000.01099986,0,1,0.3485,0.0,0.0,0.005
1,0,1810,-0.0048606,-0.01209396,0,1,0.3485,0.0,0.0,0.005
1,0,1820,-0.0048606,-2000000.01213626,0,1,0.3485,0.0,0.0,0.005
1,0,1830,-0.0048606,-2000000.01190472,0,1,0.3485,0.0,0.0,0.005
1,0,1840,-0.0048606,-1000000.01167566,0,1,0.3485,0.0,0.0,0.005
1,0,1850,-0.0048606,-0.01207021,0,1,0.3485,0.0,0.0,0.005
1,0,1860,-0.0048606,-1000000.01259844,0,1,0.3485,0.0,0.0,0.005
1,0,1870,-0.0048606,-1000000.01204308,0,1,0.3485,0.0,0.0,0.005
1,0,1880,-0.0048606,-0.01240334,0,1,0.3485,0.0,0.0,0.005
1,0,1890,-0.0048606,-1000000.01248838,0,1,0.3485,0.0,0.0,0.005
1,0,1900,-0.0048606,-1000000.01140966,0,1,0.3485,0.0,0.0,0.005
1,0,1910,-0.0048606,-1000000.01189739,0,1,0.3485,0.0,0.0,0.005
1,0,1920,-0.0048606,-2000000.01253557,0,1,0.3485,0.0,0.0,0.005
1,0,1930,-0.0048606,-2000000.012572,0,1,0.3485,0.0,0.0,0.005
1,0,1940,-0.0048606,-3000000.0121423,0,1,0.3485,0.0,0.0,0.005
1,0,1950,-0.0048606,-0.01237976,0,1,0.3485,0.0,0.0,0.005
1,0,1960,-0.0048606,-2000000.01199219,0,1,0.3485,0.0,0.0,0.005
1,0,1970,-0.0048606,-1000000.01268808,0,1,0.3485,0.0,0.0,0.005
1,0,1980,-0.0048606,-5000000.01097266,0,1,0.3485,0.0,0.0,0.005
1,0,1990,-0.0048606,-3000000.01224226,0,1,0.3485,0.0,0.0,0.005
1,0,2000,-0.0048606,-2000000.01198271,0,1,0.3485,0.0,0.0,0.005
1,0,2010,-0.0048606,-1000000.0119629,0,1,0.3485,0.0,0.0,0.005
1,0,2020,-0.0048606,-2000000.01223439,0,1,0.3485,0.0,0.0,0.005
1,0,2030,-0.0048606,-4000000.0122137,0,1,0.3485,0.0,0.0,0.005
1,0,2040,-0.0048606,-0.01187411,0,1,0.3485,0.0,0.0,0.005
1,0,2050,-0.0048606,-3000000.01217322,0,1,0.3485,0.0,0.0,0.005
1,0,2060,-0.0048606,-1000000.0122061,0,1,0.3485,0.0,0.0,0.005
1,0,2070,-0.0048606,-0.012409,0,1,0.3485,0.0,0.0,0.005
1,0,2080,-0.0048606,-0.01255404,0,1,0.3485,0.0,0.0,0.005
1,0,2090,-0.0048606,-1000000.01204826,0,1,0.3485,0.0,0.0,0.005
1,0,2100,-0.0048606,-1000000.01187474,0,1,0.3485,0.0,0.0,0.005
1,0,2110,-0.0048606,-2000000.01153067,0,1,0.3485,0.0,0.0,0.005
1,0,2120,-0.0048606,-0.01207919,0,1,0.3485,0.0,0.0,0.005
1,0,2130,-0.0048606,-2000000.01188754,0,1,0.3485,0.0,0.0,0.005
1,0,2140,-0.0048606,-1000000.01178491,0,1,0.3485,0.0,0.0,0.005
1,0,2150,-0.0048606,-1000000.01283856,0,1,0.3485,0.0,0.0,0.005
1,0,2160,-0.0048606,-2000000.01255642,0,1,0.3485,0.0,0.0,0.005
1,0,2170,-0.0048606,-2000000.01169249,0,1,0.3485,0.0,0.0,0.005
1,0,2180,-0.0048606,-3000000.01116061,0,1,0.3485,0.0,0.0,0.005
1,0,2190,-0.0048606,-3000000.01208948,0,1,0.3485,0.0,0.0,0.005
1,0,2200,-0.0048606,-2000000.01190519,0,1,0.3485,0.0,0.0,0.005
1,0,2210,-0.0048606,-0.01233827,0,1,0.3485,0.0,0.0,0.005
1,0,2220,-0.0048606,-0.01200667,0,1,0.3485,0.0,0.0,0.005
1,0,2230,-0.0048606,-1000000.01239128,0,1,0.3485,0.0,0.0,0.005
1,0,2240,-0.0048606,-2000000.01227199,0,1,0.3485,0.0,0.0,0.005
1,0,2250,-0.0048606,-2000000.01254594,0,1,0.3485,0.0,0.0,0.005
1,0,2260,-0.0048606,-0.0114421,0,1,0.3485,0.0,0.0,0.005
1,0,2270,-0.0048606,-1000000.01244,0,1,0.3485,0.0,0.0,0.005
1,0,2280,-0.0048606,-0.01183554,0,1,0.3485,0.0,0.0,0.005
1,0,2290,-0.0048606,-0.0121916,0,1,0.3485,0.0,0.0,0.005
1,0,2300,-0.0048606,-3000000.01189777,0,1,0.3485,0.0,0.0,0.005
1,0,2310,-0.0048606,-1000000.01222855,0,1,0.3485,0.0,0.0,0.005
1,0,2320,-0.0048606,-1000000.01200146,0,1,0.3485,0.0,0.0,0.005
1,0,2330,-0.0048606,-3000000.01113237,0,1,0.3485,0.0,0.0,0.005
1,0,2340,-0.0048606,-0.01253579,0,1,0.3485,0.0,0.0,0.005
1,0,2350,-0.0048606,-2000000.01197506,0,1,0.3485,0.0,0.0,0.005
1,0,2360,-0.0048606,-2000000.01209363,0,1,0.3485,0.0,0.0,0.005
1,0,2370,-0.0048606,-1000000.01219012,0,1,0.3485,0.0,0.0,0.005
1,0,2380,-0.0048606,-0.01217364,0,1,0.3485,0.0,0.0,0.005
1,0,2390,-0.0048606,-1000000.0114909,0,1,0.3485,0.0,0.0,0.005
1,0,2400,-0.0048606,-1000000.01167147,0,1,0.3485,0.0,0.0,0.005
1,0,2410,-0.0048606,-1000000.01238263,0,1,0.3485,0.0,0.0,0.005
1,0,2420,-0.0048606,-3000000.01175639,0,1,0.3485,0.0,0.0,0.005
1,0,2430,-0.0048606,-1000000.01172204,0,1,0.3485,0.0,0.0,0.005
